seed,n_clusters,alpha,theoretical,empirical
234,1,0.05,0.95,0.9824561403508771
234,1,0.1,0.9,0.9298245614035088
234,1,0.2,0.8,0.8333333333333334
235,1,0.01,0.99,1.0
235,1,0.05,0.95,0.9649122807017544
235,1,0.1,0.9,0.8771929824561403
235,1,0.2,0.8,0.7807017543859649
236,1,0.01,0.99,1.0
236,1,0.05,0.95,0.956140350877193
236,1,0.1,0.9,0.9210526315789473
236,1,0.2,0.8,0.7894736842105263
237,1,0.01,0.99,0.9912280701754386
237,1,0.05,0.95,0.9473684210526315
237,1,0.1,0.9,0.9210526315789473
237,1,0.2,0.8,0.8508771929824561
238,1,0.01,0.99,1.0
238,1,0.05,0.95,0.9824561403508771
238,1,0.1,0.9,0.9473684210526315
238,1,0.2,0.8,0.8070175438596491
239,1,0.01,0.99,1.0
239,1,0.05,0.95,0.9912280701754386
239,1,0.1,0.9,0.956140350877193
239,1,0.2,0.8,0.8333333333333334
240,1,0.01,0.99,0.9912280701754386
240,1,0.05,0.95,0.9385964912280702
240,1,0.1,0.9,0.8859649122807017
240,1,0.2,0.8,0.7982456140350878
241,1,0.01,0.99,1.0
241,1,0.05,0.95,0.956140350877193
241,1,0.1,0.9,0.8859649122807017
241,1,0.2,0.8,0.8070175438596491
242,1,0.01,0.99,0.9824561403508771
242,1,0.05,0.95,0.9736842105263158
242,1,0.1,0.9,0.9210526315789473
242,1,0.2,0.8,0.8245614035087719
243,1,0.01,0.99,1.0
243,1,0.05,0.95,0.9824561403508771
243,1,0.1,0.9,0.9210526315789473
243,1,0.2,0.8,0.7807017543859649
244,1,0.01,0.99,0.9912280701754386
244,1,0.05,0.95,0.9473684210526315
244,1,0.1,0.9,0.8596491228070176
244,1,0.2,0.8,0.7982456140350878
245,1,0.01,0.99,0.9912280701754386
245,1,0.05,0.95,0.9824561403508771
245,1,0.1,0.9,0.9298245614035088
245,1,0.2,0.8,0.8771929824561403
246,1,0.01,0.99,0.956140350877193
246,1,0.05,0.95,0.8947368421052632
246,1,0.1,0.9,0.8421052631578947
246,1,0.2,0.8,0.7894736842105263
247,1,0.01,0.99,1.0
247,1,0.05,0.95,0.9473684210526315
247,1,0.1,0.9,0.9035087719298246
247,1,0.2,0.8,0.7894736842105263
248,1,0.01,0.99,0.9912280701754386
248,1,0.05,0.95,0.9385964912280702
248,1,0.1,0.9,0.868421052631579
248,1,0.2,0.8,0.8157894736842105
249,1,0.01,0.99,1.0
249,1,0.05,0.95,0.9736842105263158
249,1,0.1,0.9,0.9298245614035088
249,1,0.2,0.8,0.8421052631578947
250,1,0.01,0.99,0.9912280701754386
250,1,0.05,0.95,0.9824561403508771
250,1,0.1,0.9,0.9473684210526315
250,1,0.2,0.8,0.8859649122807017
251,1,0.01,0.99,0.9912280701754386
251,1,0.05,0.95,0.956140350877193
251,1,0.1,0.9,0.9122807017543859
251,1,0.2,0.8,0.7894736842105263
252,1,0.01,0.99,0.9912280701754386
252,1,0.05,0.95,0.956140350877193
252,1,0.1,0.9,0.8859649122807017
252,1,0.2,0.8,0.8245614035087719
253,1,0.01,0.99,0.9824561403508771
253,1,0.05,0.95,0.9736842105263158
253,1,0.1,0.9,0.9473684210526315
253,1,0.2,0.8,0.868421052631579
254,1,0.01,0.99,1.0
254,1,0.05,0.95,0.9210526315789473
254,1,0.1,0.9,0.8947368421052632
254,1,0.2,0.8,0.8596491228070176
255,1,0.01,0.99,0.9912280701754386
255,1,0.05,0.95,0.9649122807017544
255,1,0.1,0.9,0.9122807017543859
255,1,0.2,0.8,0.8245614035087719
256,1,0.01,0.99,0.9912280701754386
256,1,0.05,0.95,0.9736842105263158
256,1,0.1,0.9,0.8859649122807017
256,1,0.2,0.8,0.8508771929824561
257,1,0.01,0.99,1.0
257,1,0.05,0.95,0.9298245614035088
257,1,0.1,0.9,0.7894736842105263
257,1,0.2,0.8,0.7368421052631579
258,1,0.01,0.99,0.9912280701754386
258,1,0.05,0.95,0.9473684210526315
258,1,0.1,0.9,0.8947368421052632
258,1,0.2,0.8,0.7543859649122807
259,1,0.01,0.99,0.9912280701754386
259,1,0.05,0.95,0.956140350877193
259,1,0.1,0.9,0.8859649122807017
259,1,0.2,0.8,0.7982456140350878
260,1,0.01,0.99,0.9824561403508771
260,1,0.05,0.95,0.9736842105263158
260,1,0.1,0.9,0.9298245614035088
260,1,0.2,0.8,0.8508771929824561
261,1,0.01,0.99,0.9824561403508771
261,1,0.05,0.95,0.9210526315789473
261,1,0.1,0.9,0.8771929824561403
261,1,0.2,0.8,0.7894736842105263
262,1,0.01,0.99,1.0
262,1,0.05,0.95,0.9824561403508771
262,1,0.1,0.9,0.9210526315789473
262,1,0.2,0.8,0.868421052631579
263,1,0.01,0.99,1.0
263,1,0.05,0.95,0.9649122807017544
263,1,0.1,0.9,0.8771929824561403
263,1,0.2,0.8,0.7807017543859649
264,1,0.01,0.99,0.9824561403508771
264,1,0.05,0.95,0.9649122807017544
264,1,0.1,0.9,0.9210526315789473
264,1,0.2,0.8,0.7192982456140351
265,1,0.01,0.99,0.9736842105263158
265,1,0.05,0.95,0.9473684210526315
265,1,0.1,0.9,0.8771929824561403
265,1,0.2,0.8,0.7368421052631579
266,1,0.01,0.99,0.9824561403508771
266,1,0.05,0.95,0.9210526315789473
266,1,0.1,0.9,0.8771929824561403
266,1,0.2,0.8,0.7719298245614035
267,1,0.01,0.99,1.0
267,1,0.05,0.95,0.956140350877193
267,1,0.1,0.9,0.8771929824561403
267,1,0.2,0.8,0.7456140350877193
268,1,0.01,0.99,1.0
268,1,0.05,0.95,0.956140350877193
268,1,0.1,0.9,0.9122807017543859
268,1,0.2,0.8,0.7719298245614035
269,1,0.01,0.99,0.9912280701754386
269,1,0.05,0.95,0.9473684210526315
269,1,0.1,0.9,0.8859649122807017
269,1,0.2,0.8,0.8421052631578947
270,1,0.01,0.99,0.9912280701754386
270,1,0.05,0.95,0.9385964912280702
270,1,0.1,0.9,0.8771929824561403
270,1,0.2,0.8,0.8070175438596491
271,1,0.01,0.99,0.9824561403508771
271,1,0.05,0.95,0.9385964912280702
271,1,0.1,0.9,0.9385964912280702
271,1,0.2,0.8,0.8333333333333334
272,1,0.01,0.99,1.0
