name,def_file,def_line,src_usages,test_usages,pattern,scope
_is_identifier_list_or_scalar,calibrated_explanations\core\config_manager.py,241,8,0,Consistent (Internal Only),library
_build_default_spec,calibrated_explanations\core\config_manager.py,346,2,0,Consistent (Internal Only),library
_KNOWN_ENV_KEYS,calibrated_explanations\core\config_manager.py,374,3,5,Pattern 1 (Inter-module / Testing leaked),library
_PROCESS_CONFIG_MANAGER_LOCK,calibrated_explanations\core\config_manager.py,816,4,0,Consistent (Internal Only),library
_compute_source_count,calibrated_explanations\core\config_manager.py,439,1,0,Consistent (Internal Only),library
_emit_config_governance_event,calibrated_explanations\core\config_manager.py,446,3,0,Consistent (Internal Only),library
_validate_sections,calibrated_explanations\core\config_manager.py,466,1,0,Consistent (Internal Only),library
_parse_plugin_config_env_snapshot,calibrated_explanations\core\config_manager.py,549,1,0,Consistent (Internal Only),library
_resolve_raw_plugin_config,calibrated_explanations\core\config_manager.py,685,3,0,Consistent (Internal Only),library
_resolve_effective_key,calibrated_explanations\core\config_manager.py,790,1,0,Consistent (Internal Only),library
_SECTION_SCHEMA,calibrated_explanations\core\config_manager.py,375,2,0,Consistent (Internal Only),library
_RESOLUTION_SPEC,calibrated_explanations\core\config_manager.py,376,2,0,Consistent (Internal Only),library
_VALUE_VALIDATORS,calibrated_explanations\core\config_manager.py,377,2,0,Consistent (Internal Only),library
_pyproject_tool_namespace,calibrated_explanations\core\config_manager.py,378,2,0,Consistent (Internal Only),library
_env_snapshot,calibrated_explanations\core\config_manager.py,389,6,0,Consistent (Internal Only),library
_pyproject_snapshot,calibrated_explanations\core\config_manager.py,390,14,0,Consistent (Internal Only),library
_profile_id,calibrated_explanations\core\config_manager.py,393,3,0,Consistent (Internal Only),library
_schema_version,calibrated_explanations\core\config_manager.py,394,3,0,Consistent (Internal Only),library
_strict,calibrated_explanations\core\config_manager.py,395,4,0,Consistent (Internal Only),library
_source_count,calibrated_explanations\core\config_manager.py,397,2,0,Consistent (Internal Only),library
_validation_report,calibrated_explanations\core\config_manager.py,529,3,0,Consistent (Internal Only),library
_PROCESS_CONFIG_MANAGER,calibrated_explanations\core\config_manager.py,832,9,0,Consistent (Internal Only),library
_optional_bool,calibrated_explanations\core\difficulty_estimator_helpers.py,54,8,0,Consistent (Internal Only),library
_first_attr,calibrated_explanations\core\difficulty_estimator_helpers.py,70,10,0,Consistent (Internal Only),library
_PANDAS_AVAILABLE,calibrated_explanations\viz\narrative_plugin.py,24,5,0,Consistent (Internal Only),library
_as_float_list,calibrated_explanations\core\narrative_generator.py,133,4,0,Consistent (Internal Only),library
_split_conjunctive_values,calibrated_explanations\core\narrative_generator.py,584,2,0,Consistent (Internal Only),library
_split_conjunctive_conditions,calibrated_explanations\core\narrative_generator.py,593,2,0,Consistent (Internal Only),library
_parse_condition_segment,calibrated_explanations\core\narrative_generator.py,608,2,0,Consistent (Internal Only),library
_format_conjunctive_condition,calibrated_explanations\core\narrative_generator.py,634,2,0,Consistent (Internal Only),library
_align_marker,calibrated_explanations\core\narrative_generator.py,748,4,0,Consistent (Internal Only),library
_n_samples,calibrated_explanations\core\prediction_helpers.py,37,2,0,Consistent (Internal Only),library
_normalize_conditional_bins,calibrated_explanations\core\prediction_helpers.py,45,6,0,Consistent (Internal Only),library
_apply_conditional_categorizer,calibrated_explanations\core\prediction_helpers.py,60,4,0,Consistent (Internal Only),library
_sorted_labels,calibrated_explanations\core\prediction_helpers.py,68,4,0,Consistent (Internal Only),library
_as_2d_array,calibrated_explanations\core\validation.py,209,4,0,Consistent (Internal Only),library
_as_1d_array,calibrated_explanations\core\validation.py,222,8,0,Consistent (Internal Only),library
_get_bins,calibrated_explanations\core\wrap_explainer.py,883,6,0,Consistent (Internal Only),library
_assert_fitted,calibrated_explanations\core\wrap_explainer.py,939,12,0,Consistent (Internal Only),library
_assert_calibrated,calibrated_explanations\core\wrap_explainer.py,946,12,0,Consistent (Internal Only),library
_normalize_public_kwargs,calibrated_explanations\core\wrap_explainer.py,953,8,0,Consistent (Internal Only),library
_normalize_auto_encode_flag,calibrated_explanations\core\wrap_explainer.py,994,4,0,Consistent (Internal Only),library
_serialise_preprocessor_value,calibrated_explanations\core\wrap_explainer.py,1004,9,0,Consistent (Internal Only),library
_extract_preprocessor_snapshot,calibrated_explanations\core\wrap_explainer.py,1023,2,0,Consistent (Internal Only),library
_build_preprocessor_metadata,calibrated_explanations\core\wrap_explainer.py,1064,2,0,Consistent (Internal Only),library
_raise_non_numeric_without_preprocessor,calibrated_explanations\core\wrap_explainer.py,1084,2,0,Consistent (Internal Only),library
_pre_fit_preprocess,calibrated_explanations\core\wrap_explainer.py,1097,3,0,Consistent (Internal Only),library
_pre_transform,calibrated_explanations\core\wrap_explainer.py,1147,4,0,Consistent (Internal Only),library
_maybe_preprocess_for_inference,calibrated_explanations\core\wrap_explainer.py,1168,6,0,Consistent (Internal Only),library
_finalize_fit,calibrated_explanations\core\wrap_explainer.py,1172,2,0,Consistent (Internal Only),library
_format_proba_output,calibrated_explanations\core\wrap_explainer.py,1188,2,0,Consistent (Internal Only),library
_validate_json_safe_mapping,calibrated_explanations\core\wrap_explainer.py,1377,3,0,Consistent (Internal Only),library
_state_path,calibrated_explanations\core\wrap_explainer.py,1400,2,0,Consistent (Internal Only),library
_sha256_bytes,calibrated_explanations\core\wrap_explainer.py,1416,8,0,Consistent (Internal Only),library
_sha256_file,calibrated_explanations\core\wrap_explainer.py,1421,1,0,Consistent (Internal Only),library
_calibrator_to_primitive,calibrated_explanations\core\wrap_explainer.py,1429,2,0,Consistent (Internal Only),library
_build_calibrator_primitive,calibrated_explanations\core\wrap_explainer.py,1452,1,0,Consistent (Internal Only),library
_restore_calibrator_from_primitive,calibrated_explanations\core\wrap_explainer.py,1473,2,0,Consistent (Internal Only),library
_build_explainer_config_payload,calibrated_explanations\core\wrap_explainer.py,1530,1,0,Consistent (Internal Only),library
_warn_dropping_mondrian_categorizer,calibrated_explanations\core\wrap_explainer.py,1634,1,0,Consistent (Internal Only),library
_auto_encode,calibrated_explanations\core\wrap_explainer.py,329,4,0,Consistent (Internal Only),library
_preprocessor,calibrated_explanations\core\wrap_explainer.py,1118,14,0,Consistent (Internal Only),library
_convert,calibrated_explanations\core\wrap_explainer.py,1836,8,0,Consistent (Internal Only),library
_unseen_category_policy,calibrated_explanations\core\wrap_explainer.py,330,3,0,Consistent (Internal Only),library
_pre_fitted,calibrated_explanations\core\wrap_explainer.py,1119,6,0,Consistent (Internal Only),library
_imported_preprocessor_mapping,calibrated_explanations\core\wrap_explainer.py,1369,1,0,Consistent (Internal Only),library
_run_single,calibrated_explanations\core\explain\benchmarks.py,57,2,0,Consistent (Internal Only),library
_build_empty_feature_result,calibrated_explanations\core\explain\feature_task.py,117,4,0,Consistent (Internal Only),library
_process_categorical_feature,calibrated_explanations\core\explain\feature_task.py,164,2,0,Consistent (Internal Only),library
_TELEMETRY_LOGGER,calibrated_explanations\core\explain\orchestrator.py,50,3,0,Consistent (Internal Only),library
_resolve_reject_policy_spec,calibrated_explanations\core\explain\orchestrator.py,54,2,0,Consistent (Internal Only),library
_resolve_effective_reject_policy,calibrated_explanations\core\explain\orchestrator.py,72,12,0,Consistent (Internal Only),library
_warn_source_index_issue,calibrated_explanations\core\explain\orchestrator.py,109,12,0,Consistent (Internal Only),library
_coerce_legacy_reject_result,calibrated_explanations\core\explain\orchestrator.py,120,12,0,Consistent (Internal Only),library
_resolve_source_indices_for_payload,calibrated_explanations\core\explain\orchestrator.py,140,8,0,Consistent (Internal Only),library
_coerce_ignore_items,calibrated_explanations\core\explain\orchestrator.py,282,6,0,Consistent (Internal Only),library
_derive_plot_chain,calibrated_explanations\core\explain\orchestrator.py,1976,2,0,Consistent (Internal Only),library
_significance,calibrated_explanations\explanations\guarded_explanation.py,530,8,0,Consistent (Internal Only),library
_n_neighbors,calibrated_explanations\core\explain\orchestrator.py,1581,4,0,Consistent (Internal Only),library
_normalize,calibrated_explanations\core\explain\orchestrator.py,1582,4,0,Consistent (Internal Only),library
_merge_adjacent,calibrated_explanations\core\explain\orchestrator.py,1583,4,0,Consistent (Internal Only),library
_verbose,calibrated_explanations\core\explain\orchestrator.py,1584,8,0,Consistent (Internal Only),library
_instance_parallel_task,calibrated_explanations\core\explain\parallel_instance.py,32,2,0,Consistent (Internal Only),library
_sequential_plugin,calibrated_explanations\core\explain\parallel_instance.py,96,3,0,Consistent (Internal Only),library
